id;titulo;audio_filename;tiene_audio;duracion_transicion;estado;fecha_creacion;fecha_descarga;user_id
1;ignite lifestyle;joyful privilege;false;1535;COMPLETADO;2025-12-18T12:31:05;2025-12-18T05:11:40;1
2;heating;obligation;true;9478;ERROR;2025-12-18T09:27:38;2025-12-18T12:24:45;2
3;shout;thankfully;true;4864;DESCARGADO;2025-12-18T17:33:44;2025-12-18T01:21:11;1
4;loosely;down;false;23215;DESCARGADO;2025-12-18T19:29:56;2025-12-18T07:14:50;2
5;miserable sham;unsung;false;14150;DESCARGADO;2025-12-18T14:26:55;2025-12-18T14:06:04;2
6;upbeat wear plastic;supposing traduce provision;false;1498;COMPLETADO;2025-12-18T17:31:02;2025-12-17T21:30:44;2
7;yieldingly exempt gum;per likewise middle;false;25029;DESCARGADO;2025-12-18T15:02:43;2025-12-18T19:23:45;1
8;misfire;second;true;8841;EN_PROCESO;2025-12-18T04:14:55;2025-12-18T13:28:09;2
9;blah;footrest enormously;true;558;DESCARGADO;2025-12-18T12:46:50;2025-12-18T09:02:54;1
10;yowza while;whispered;true;29828;COMPLETADO;2025-12-18T09:50:10;2025-12-18T15:50:52;1
